fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,8
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,8
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,8
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,8
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,8
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,8
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,2
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,7
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,3
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,5
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,4
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,6
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:low,rad,Regions with low crime rate,Accessibility to radial highways,1
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,2
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,8
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,7
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,7
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,5
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,3
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
Boston.csv,crim:high,rad,Regions with high crime rate,Accessibility to radial highways,4
