fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,21
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,21
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,21
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,20
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,21
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,21
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,19
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,33
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,21
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,20
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,19
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,21
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,34
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,19
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,21
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,31
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,34
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,19
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,20
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,33
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,Colleges with high completion rate,ACT Median,29
